featuresID,propertyType,bathrooms,bedrooms,architectureType,cooling,coolingType,exteriorType,fireplace,fireplaceType,floorCount,foundationType,garage,garageType,garageSpaces,heating,heatingType,roofType,roomCount,unitCount,pool,poolType,viewType
1,Single Family,2.0,3.0,Ranch,True,Central,OTHER,True,Unknown,1.0,Footing,True,Detached,0.0,True,Forced Air,Composition Shingle,0.0,0.0,Unknown,Unknown,Unknown
2,Unknown,0.0,0.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
3,Single Family,4.0,4.0,Unkown,True,Central,OTHER,True,Prefab,2.0,OTHER,True,Attached,2.0,True,Forced Air,Composition Shingle,10.0,1.0,Unknown,Unknown,Unknown
4,Single Family,1.5,4.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,True,Unknown,0.0,Unknown,Unknown,Unknown,7.0,1.0,Unknown,Unknown,Unknown
5,Condo,2.0,4.0,Condo / Apartment,True,Central,Aluminum / Vinyl Siding,Unknown,Unknown,1.0,Slab / Mat / Raft,Unknown,Unknown,0.0,True,Forced Air,Composition Shingle,6.0,0.0,Unknown,Unknown,Unknown
6,Single Family,2.0,3.0,Unkown,True,Central,Vinyl,True,Unknown,1.0,Block,True,Attached,0.0,True,Central,Composition Shingle,0.0,0.0,Unknown,Unknown,Unknown
7,Single Family,2.5,5.0,Ranch,True,Central,Brick,True,Unknown,1.0,Unknown,True,Attached,2.0,True,Central,Asphalt,12.0,1.0,Unknown,Unknown,Unknown
8,Single Family,2.0,3.0,Unkown,True,Commercial,Unknown,True,Unknown,1.0,Unknown,True,Garage,0.0,Unknown,Unknown,Unknown,6.0,1.0,Unknown,Unknown,Unknown
9,Single Family,3.5,0.0,Colonial,True,Central,Brick,True,Unknown,2.0,OTHER,True,Mixed,2.0,True,Central,Slate,7.0,1.0,Unknown,Unknown,Unknown
10,Single Family,6.0,5.0,Unkown,True,Unknown,Stucco,True,Unknown,3.0,Unknown,Unknown,Unknown,0.0,True,Forced Air,Built-up,0.0,1.0,Unknown,Unknown,Unknown
11,Duplex-Triplex,4.0,0.0,Triplex,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,True,Garage,0.0,Unknown,Unknown,Unknown,0.0,3.0,Unknown,Unknown,Unknown
12,Single Family,2.0,3.0,Unkown,True,Central,Unknown,Unknown,Unknown,1.0,Unknown,True,Garage,2.0,True,Central,Unknown,0.0,1.0,Unknown,Unknown,Unknown
13,Single Family,1.5,4.0,Colonial,True,Commercial,Aluminum / Vinyl Siding,True,Unknown,2.0,Block,True,Mixed,0.0,True,Forced Air,Shingle,8.0,1.0,Unknown,Unknown,Unknown
14,Manufactured,0.0,0.0,Mobile Home,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,True,Garage,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
15,Single Family,2.0,3.0,Conventional,True,Central,Stone,True,Masonry,2.0,Unknown,True,Basement,1.0,True,Forced Air,Unknown,8.0,1.0,Unknown,Unknown,Unknown
16,Single Family,1.0,4.0,Conventional,True,Central,Aluminum / Vinyl Siding,True,Single,2.0,Unknown,True,Detached,5.0,True,Baseboard,Unknown,8.0,1.0,Unknown,Unknown,Unknown
17,Condo,1.0,2.0,Conventional,True,Central,Aluminum / Vinyl Siding,True,Unknown,2.0,Unknown,Unknown,Unknown,0.0,True,Gas,Unknown,4.0,1.0,Unknown,Unknown,Unknown
18,Single Family,1.0,0.0,Unkown,True,Central,Unknown,Unknown,Unknown,1.0,Unknown,True,Garage,1.0,Unknown,Unknown,Unknown,0.0,1.0,Unknown,Unknown,Unknown
19,Single Family,1.0,3.0,Ranch / Rambler,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,5.0,1.0,Unknown,Unknown,Unknown
20,Single Family,2.0,3.0,Ranch,True,Central,Block,True,Prefab,1.0,Unknown,Unknown,Unknown,0.0,True,Forced Air,Unknown,7.0,1.0,Unknown,Unknown,Unknown
21,Single Family,1.0,0.0,Unkown,Unknown,Unknown,Wood Shingle,Unknown,Unknown,1.0,Wood,True,Detached,0.0,True,Floor / Wall,Unknown,0.0,0.0,Unknown,Unknown,Unknown
22,Condo,2.0,2.0,Condo / Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,1.0,Unknown,Unknown,Unknown
23,Single Family,2.0,3.0,Unkown,True,Central,Brick Veneer,True,Unknown,1.0,Slab / Mat / Raft,True,Attached,0.0,True,Central,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
